horodatage;timezone;sha_model;groupe;ticker;source;spot;prob_ml;seuil_ml;prob_implicite;ratio;direction;decision;raison;side;strike;expiry;dte;bid;ask;mid;iv;delta;theta_jour;vega;cout_entree_ask;ret_1s;ret_3s;ret_5s;exit_bid_1s;exit_bid_3s;exit_bid_5s;pnl_option_est_5s_pct;resultat_direction_seule;statut
2026-07-13T15:32:56-04:00;America/New_York;11fa6982d2cf3659;scan;AAPL;yahoo;316.28;0.0219;0.323;0.0612;0.358;0.411;rejet_prob;prob 0.022 < seuil 0.323;;;;;;;;;;;;;-0.00449;0.05369;0.0326;;;;;0.0326;complet
2026-07-13T15:32:57-04:00;America/New_York;11fa6982d2cf3659;scan;NVDA;yahoo;204.13;0.2616;0.323;0.1647;1.588;0.261;rejet_prob;prob 0.262 < seuil 0.323;;;;;;;;;;;;;0.03757;0.01602;-0.00416;;;;;-0.00416;complet
2026-07-13T15:32:58-04:00;America/New_York;11fa6982d2cf3659;scan;TSLA;yahoo;392.4;0.2202;0.323;0.0563;3.911;0.114;rejet_prob;prob 0.220 < seuil 0.323;;;;;;;;;;;;;0.00963;-0.00341;-0.05818;;;;;-0.05818;complet
2026-07-13T15:32:59-04:00;America/New_York;11fa6982d2cf3659;scan;AMD;yahoo;535.35;0.2483;0.323;0.1683;1.475;0.231;rejet_prob;prob 0.248 < seuil 0.323;;;;;;;;;;;;;0.02387;-0.06428;-0.05936;;;;;-0.05936;complet
2026-07-13T15:32:59-04:00;America/New_York;11fa6982d2cf3659;scan;META;yahoo;658.5799;0.0472;0.323;0.1334;0.354;0.712;rejet_prob;prob 0.047 < seuil 0.323;;;;;;;;;;;;;0.00374;0.00905;-0.01933;;;;;-0.01933;complet
2026-07-13T15:33:00-04:00;America/New_York;11fa6982d2cf3659;scan;SPY;yahoo;748.7;0.2996;0.323;0.1252;2.393;-0.174;rejet_prob;prob 0.300 < seuil 0.323;;;;;;;;;;;;;0.00418;0.0027;-0.00883;;;;;0.00883;complet
2026-07-13T15:33:01-04:00;America/New_York;11fa6982d2cf3659;scan;QQQ;yahoo;711.13;0.2136;0.323;0.074;2.886;-0.419;rejet_prob;prob 0.214 < seuil 0.323;;;;;;;;;;;;;0.01204;-0.0073;-0.02119;;;;;0.02119;complet
2026-07-13T15:33:02-04:00;America/New_York;11fa6982d2cf3659;scan;COIN;yahoo;155.77;0.1883;0.323;0.2926;0.644;0.102;rejet_prob;prob 0.188 < seuil 0.323;;;;;;;;;;;;;0.03679;0.0303;0.02992;;;;;0.02992;complet
2026-07-13T15:33:02-04:00;America/New_York;11fa6982d2cf3659;scan;PLTR;yahoo;128.2;0.1093;0.323;0.2002;0.546;0.183;rejet_prob;prob 0.109 < seuil 0.323;;;;;;;;;;;;;0.04306;0.04867;0.05187;;;;;0.05187;complet
2026-07-13T15:33:02-04:00;America/New_York;11fa6982d2cf3659;C;PLTR;yahoo;128.2;0.1093;0.323;0.2002;0.546;0.183;controle_aleatoire;contrôle apparié, direction aléatoire hausse;;;;;;;;;;;;;0.04306;0.04867;0.05187;;;;;0.05187;complet
2026-07-13T15:33:03-04:00;America/New_York;11fa6982d2cf3659;scan;SOFI;yahoo;18.1464;0.2169;0.323;0.4136;0.524;0.41;rejet_prob;prob 0.217 < seuil 0.323;;;;;;;;;;;;;0.02224;-0.04554;-0.06262;;;;;-0.06262;complet
2026-07-13T15:33:03-04:00;America/New_York;11fa6982d2cf3659;A;SOFI;yahoo;18.1464;0.2169;0.323;0.4136;0.524;0.41;rejet_prob;prob 0.217 < seuil 0.323;call;19.5;2026-08-07;25.0;0.85;0.89;0.87;0.7227;0.394;-0.0272;0.0183;89.0;0.02224;-0.04554;-0.06262;1.03;0.37;0.38;-0.6317;-0.06262;complet
2026-07-13T15:33:03-04:00;America/New_York;11fa6982d2cf3659;scan;MARA;yahoo;12.0543;0.1526;0.323;0.2638;0.578;-0.183;rejet_prob;prob 0.153 < seuil 0.323;;;;;;;;;;;;;0.00877;-0.05262;-0.03188;;;;;0.03188;complet
2026-07-13T15:33:04-04:00;America/New_York;11fa6982d2cf3659;scan;F;yahoo;13.8423;0.2543;0.323;0.4107;0.619;0.099;rejet_prob;prob 0.254 < seuil 0.323;;;;;;;;;;;;;0.00706;0.02512;0.01067;;;;;0.01067;complet
2026-07-13T15:33:05-04:00;America/New_York;11fa6982d2cf3659;scan;T;yahoo;21.4702;0.0665;0.323;0.1578;0.421;-0.083;rejet_prob;prob 0.067 < seuil 0.323;;;;;;;;;;;;;-0.00886;0.02374;0.02235;;;;;-0.02235;complet
2026-07-13T15:33:05-04:00;America/New_York;11fa6982d2cf3659;scan;PFE;yahoo;24.4998;0.1953;0.323;0.173;1.129;0.162;rejet_prob;prob 0.195 < seuil 0.323;;;;;;;;;;;;;-0.0102;0.02613;0.01021;;;;;0.01021;complet
2026-07-13T15:33:06-04:00;America/New_York;11fa6982d2cf3659;scan;AAL;yahoo;16.3302;0.1917;0.323;0.2435;0.787;-0.001;rejet_prob;prob 0.192 < seuil 0.323;;;;;;;;;;;;;-0.04043;-0.04471;-0.07288;;;;;0.07288;complet
2026-07-13T15:33:06-04:00;America/New_York;11fa6982d2cf3659;scan;NIO;yahoo;4.895;0.3521;0.323;0.3206;1.098;0.244;rejet_ratio;options déjà chères : ratio 1.10 < 1.5 (p_implicite 0.321);;;;;;;;;;;;;0.02349;0.01941;-0.01736;;;;;-0.01736;complet
2026-07-13T15:33:07-04:00;America/New_York;11fa6982d2cf3659;scan;INTC;yahoo;102.27;0.1836;0.323;0.141;1.302;-0.282;rejet_prob;prob 0.184 < seuil 0.323;;;;;;;;;;;;;0.05368;-0.05173;-0.05094;;;;;0.05094;complet
2026-07-13T15:33:07-04:00;America/New_York;11fa6982d2cf3659;scan;PLUG;yahoo;2.155;0.4752;0.323;0.501;0.949;-0.316;rejet_ratio;options déjà chères : ratio 0.95 < 1.5 (p_implicite 0.501);;;;;;;;;;;;;0.05336;-0.00232;-0.0116;;;;;0.0116;complet
2026-07-13T15:33:08-04:00;America/New_York;11fa6982d2cf3659;scan;RIVN;yahoo;17.125;0.037;0.323;0.0275;1.345;0.202;rejet_prob;prob 0.037 < seuil 0.323;;;;;;;;;;;;;0.0219;-0.00204;0.00672;;;;;0.00672;complet
2026-07-13T15:33:08-04:00;America/New_York;11fa6982d2cf3659;scan;LCID;yahoo;5.5001;0.034;0.323;0.1422;0.239;0.322;rejet_prob;prob 0.034 < seuil 0.323;;;;;;;;;;;;;-0.16002;0.17452;0.2927;;;;;0.2927;complet
2026-07-13T15:33:08-04:00;America/New_York;11fa6982d2cf3659;A;LCID;yahoo;5.5001;0.034;0.323;0.1422;0.239;0.322;rejet_prob;prob 0.034 < seuil 0.323;call;6.0;2026-08-07;25.0;0.36;0.46;0.41;1.0313;0.43;-0.0119;0.0057;46.0;-0.16002;0.17452;0.2927;0.36;0.84;1.03;1.8658;0.2927;complet
2026-07-13T15:33:09-04:00;America/New_York;11fa6982d2cf3659;scan;SNAP;yahoo;4.665;0.0595;0.323;0.2673;0.223;0.21;rejet_prob;prob 0.059 < seuil 0.323;;;;;;;;;;;;;0.00322;0.00536;-0.02251;;;;;-0.02251;complet
2026-07-13T15:33:09-04:00;America/New_York;11fa6982d2cf3659;scan;WBD;yahoo;27.19;0.1281;0.323;0.7844;0.163;0.337;rejet_prob;prob 0.128 < seuil 0.323;;;;;;;;;;;;;0.01067;0.00368;-0.04892;;;;;-0.04892;complet
2026-07-13T15:33:09-04:00;America/New_York;11fa6982d2cf3659;A;WBD;yahoo;27.19;0.1281;0.323;0.7844;0.163;0.337;rejet_prob;prob 0.128 < seuil 0.323;call;28.0;2026-08-07;25.0;0.75;1.0;0.875;0.4668;0.439;-0.0275;0.0281;100.0;0.01067;0.00368;-0.04892;0.6;;;-0.632;-0.04892;complet
2026-07-13T15:33:10-04:00;America/New_York;11fa6982d2cf3659;scan;VALE;yahoo;14.115;0.3103;0.323;0.2396;1.295;-0.289;rejet_prob;prob 0.310 < seuil 0.323;;;;;;;;;;;;;0.03365;0.00744;-0.00106;;;;;0.00106;complet
2026-07-13T15:33:10-04:00;America/New_York;11fa6982d2cf3659;scan;PBR;yahoo;17.8302;0.1235;0.323;0.4217;0.293;0.381;rejet_prob;prob 0.123 < seuil 0.323;;;;;;;;;;;;;0.00504;-0.0202;0.02018;;;;;0.02018;complet
