horodatage;timezone;sha_model;groupe;ticker;source;spot;prob_ml;seuil_ml;prob_implicite;ratio;direction;decision;raison;side;strike;expiry;dte;bid;ask;mid;iv;delta;theta_jour;vega;cout_entree_ask;ret_1s;ret_3s;ret_5s;exit_bid_1s;exit_bid_3s;exit_bid_5s;pnl_option_est_5s_pct;resultat_direction_seule;statut
2026-07-14T11:11:08-04:00;America/New_York;11fa6982d2cf3659;scan;AAL;yahoo;16.125;0.1442;0.323;0.238;0.606;0.115;rejet_prob;prob 0.144 < seuil 0.323;;;;;;;;;;;;;-0.0307;;;;;;;;en_attente
2026-07-14T11:11:08-04:00;America/New_York;11fa6982d2cf3659;scan;NIO;yahoo;5.0501;0.3379;0.323;0.3459;0.977;0.088;rejet_ratio;options déjà chères : ratio 0.98 < 1.5 (p_implicite 0.346);;;;;;;;;;;;;-0.00398;;;;;;;;en_attente
2026-07-14T11:11:09-04:00;America/New_York;11fa6982d2cf3659;scan;INTC;yahoo;105.86;0.1721;0.323;0.1657;1.039;-0.296;rejet_prob;prob 0.172 < seuil 0.323;;;;;;;;;;;;;-0.02711;;;;;;;;en_attente
2026-07-14T11:11:10-04:00;America/New_York;11fa6982d2cf3659;scan;PLUG;yahoo;2.28;0.3567;0.323;0.43;0.83;0.056;rejet_ratio;options déjà chères : ratio 0.83 < 1.5 (p_implicite 0.430);;;;;;;;;;;;;-0.0307;;;;;;;;en_attente
2026-07-14T11:11:11-04:00;America/New_York;11fa6982d2cf3659;scan;RIVN;yahoo;17.485;0.0255;0.323;0.0298;0.856;0.286;rejet_prob;prob 0.025 < seuil 0.323;;;;;;;;;;;;;0.01802;;;;;;;;en_attente
2026-07-14T11:11:12-04:00;America/New_York;11fa6982d2cf3659;scan;LCID;yahoo;5.52;0.0195;0.323;0.1612;0.121;-0.082;rejet_prob;prob 0.019 < seuil 0.323;;;;;;;;;;;;;0.0779;;;;;;;;en_attente
2026-07-14T11:11:12-04:00;America/New_York;11fa6982d2cf3659;scan;SNAP;yahoo;4.6351;0.172;0.323;0.2914;0.59;-0.197;rejet_prob;prob 0.172 < seuil 0.323;;;;;;;;;;;;;0.02695;;;;;;;;en_attente
2026-07-14T11:11:13-04:00;America/New_York;11fa6982d2cf3659;scan;WBD;yahoo;27.4969;0.1311;0.323;0.8916;0.147;0.081;rejet_prob;prob 0.131 < seuil 0.323;;;;;;;;;;;;;-0.00825;;;;;;;;en_attente
2026-07-14T11:11:14-04:00;America/New_York;11fa6982d2cf3659;scan;VALE;yahoo;14.645;0.2915;0.323;0.2512;1.16;-0.422;rejet_prob;prob 0.291 < seuil 0.323;;;;;;;;;;;;;0.00171;;;;;;;;en_attente
2026-07-14T11:11:14-04:00;America/New_York;11fa6982d2cf3659;A;VALE;yahoo;14.645;0.2915;0.323;0.2512;1.16;-0.422;rejet_prob;prob 0.291 < seuil 0.323;put;14.0;2026-08-07;24.0;0.15;0.6;0.375;0.5928;0.348;-0.0164;0.0139;60.0;0.00171;;;;;;;;en_attente
